../data/Mozart1/Mozart1.musi,data
83," [[0.0, 0.0, 0.21, 0.0, 0.0, 0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.23], [0.08, 0.0, 0.06, 0.0, 0.0, 0.0, 0.06, 0.42, 0.0, 0.14, 0.0, 0.25], [0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.45]]"
84," [[0.04, 0.0, 0.1, 0.0, 0.0, 0.0, 0.03, 0.47, 0.0, 0.06, 0.0, 0.29], [0.0, 0.0, 0.23, 0.0, 0.0, 0.0, 0.0, 0.39, 0.0, 0.0, 0.0, 0.39]]"
85," [[0.0, 0.02, 0.49, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.16, 0.0, 0.13], [0.06, 0.03, 0.38, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0, 0.31, 0.0, 0.0], [0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.01, 0.4, 0.0, 0.01, 0.0, 0.29]]"
86," [[0.0, 0.03, 0.43, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.27, 0.0, 0.0], [0.06, 0.03, 0.38, 0.0, 0.0, 0.0, 0.22, 0.0, 0.0, 0.31, 0.0, 0.0], [0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.01, 0.4, 0.0, 0.01, 0.0, 0.29]]"
87," [[0.0, 0.0, 0.82, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.1, 0.0, 0.0]]"
88," [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25]]"
89," [[0.2, 0.0, 0.4, 0.0, 0.07, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]]"
90," [[0.03, 0.0, 0.16, 0.0, 0.02, 0.0, 0.0, 0.56, 0.0, 0.02, 0.0, 0.22], [0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.6]]"
91," [[0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1, 0.1, 0.0, 0.6, 0.0, 0.0], [0.18, 0.0, 0.43, 0.0, 0.07, 0.0, 0.14, 0.0, 0.0, 0.14, 0.0, 0.04]]"
92," [[0.06, 0.0, 0.08, 0.0, 0.01, 0.0, 0.0, 0.56, 0.0, 0.01, 0.0, 0.28], [0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.6]]"
